acc_name,date,inflation_count,dgs2,dgs5,dgs10,spread,fomc,ticker,price_open,price_high,price_low,price_close,volume,price_adjusted,ret_adjusted_prices,ret_closing_prices,cumret_adjusted_prices
ABC,2022-07-28,1,2.85,2.69,2.68,-0.16999999999999993,0,SPY,401.890015,406.799988,398.149994,406.070007,73966600,406.070007,0.012542384518049454,0.012542384518049454,3.8932287475346343
ABC,2022-07-27,2,2.96,2.82,2.78,-0.18000000000000016,1,SPY,394.359985,402.880005,394.049988,401.040009,82342100,401.040009,0.02596636805880026,0.02596636805880026,3.845003238444913
ABC,2022-07-19,1,3.23,3.14,3.01,-0.2200000000000002,0,SPY,386.079987,392.869995,385.390015,392.269989,78506000,392.269989,0.027019182290273003,0.027019182290273003,3.760919968585355
ABC,2022-07-18,1,3.15,3.06,2.96,-0.18999999999999995,0,SPY,388.380005,389.089996,380.660004,381.950012,63203600,381.950012,-0.008256933915081421,-0.008256933915081421,3.6619763617252303
ABC,2022-07-15,1,3.13,3.05,2.93,-0.19999999999999973,0,SPY,382.549988,385.25,380.540009,385.130005,79060400,385.130005,0.019105080372521677,0.019105080372521677,3.692464799558953
ABC,2022-07-14,1,3.15,3.06,2.96,-0.18999999999999995,0,SPY,373.609985,379.049988,371.040009,377.910004,89704800,377.910004,-0.0024284851557963005,-0.0024284851557963005,3.6232424611299323
ABC,2022-07-13,1,3.13,3.02,2.91,-0.21999999999999975,0,SPY,375.100006,381.920013,374.660004,378.829987,84224600,378.829987,-0.005251687283753692,-0.005251687283753692,3.6320628718992585
ABC,2022-07-11,1,3.07,3.05,2.99,-0.07999999999999963,0,SPY,385.850006,386.869995,383.5,384.230011,58366900,384.230011,-0.011423577460296652,-0.011423577460296652,3.683836034929684
ABC,2022-07-01,1,2.84,2.88,2.88,0.040000000000000036,0,SPY,376.559998,381.700012,373.799988,381.23999,74839700,381.23999,0.010576514247846225,0.010576514247846225,3.6551689688763855
ABC,2022-06-30,2,2.92,3.01,2.98,0.06000000000000005,0,SPY,376.23999,380.660004,372.559998,377.25,112508300,377.25,-0.0081242993965851,-0.0081242993965851,3.616914619866128
ABC,2022-06-29,1,3.06,3.15,3.1,0.040000000000000036,0,SPY,381.230011,382.269989,378.420013,380.339996,65676000,380.339996,-8.143911858304875e-4,-8.143911858304875e-4,3.6465402042471164
business,2022-07-29,21,2.89,2.7,2.67,-0.2200000000000002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
